Agius et al. 2017. Hawaii Ps receiver functions.
Frequency, 0.05-0.2, Hz
Grid resolution, 1, degree
Minimum number of events, 5
LVL: Depth of negative peak above 410
lat, Lon, Depth peak LVL, Depth peak 410, TZT, Depth peak 660, Amp LVL/Amp 410, Amp LVL, Amp 660
5.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
