// Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
// (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
 11.70     352.19    1500.00     3.54497   0.000     4.74029     8.70615     2.31419
 11.70     352.19    1500.00     3.55620   0.050     4.73649     8.71472     2.31040
 11.70     352.19    1500.00     3.56754   0.100     4.73449     8.72516     2.30649
 11.70     352.19    1500.00     3.57888   0.150     4.73285     8.73597     2.30260
 11.70     352.19    1500.00     3.59528   0.180     4.75222     8.76632     2.29848
 11.70     352.19    1500.00     3.59022   0.200     4.73146     8.74704     2.29873
 11.70     352.19    1500.00     3.60154   0.250     4.73029     8.75836     2.29487
 11.70     352.19    1500.00     3.61202   0.300     4.73197     8.77051     2.29087
 11.70     352.19    1500.00     3.62217   0.350     4.73541     8.78357     2.28678
 11.70     352.19    1500.00     3.63239   0.400     4.73938     8.79727     2.28269
 11.70     352.19    1500.00     3.64266   0.450     4.74386     8.81156     2.27859
 11.70     352.19    1500.00     3.65298   0.500     4.74879     8.82638     2.27449
 11.70     352.19    1500.00     3.66334   0.550     4.75415     8.84170     2.27039
 11.70     352.19    1500.00     3.67372   0.600     4.75994     8.85751     2.26629
 11.70     352.19    1500.00     3.68414   0.650     4.76615     8.87379     2.26220
 11.70     352.19    1500.00     3.69459   0.700     4.77280     8.89057     2.25811
 11.70     352.19    1500.00     3.70508   0.750     4.77992     8.90788     2.25402
 11.70     352.19    1500.00     3.71561   0.800     4.78756     8.92576     2.24992
 11.70     352.19    1500.00     3.73379   0.850     4.82904     8.98222     2.24128
 11.70     352.19    1500.00     3.75503   0.900     4.88482     9.05552     2.23110
 11.70     352.19    1500.00     3.77701   0.950     4.94475     9.13404     2.22070
 11.70     352.19    1500.00     3.79935   1.000     5.00705     9.21550     2.21027
 11.70     352.19    1600.00     3.53697   0.000     4.70559     8.66204     2.39259
 11.70     352.19    1600.00     3.54837   0.050     4.70196     8.67120     2.38865
 11.70     352.19    1600.00     3.55992   0.100     4.70019     8.68233     2.38461
 11.70     352.19    1600.00     3.57147   0.150     4.69879     8.69387     2.38057
 11.70     352.19    1600.00     3.58862   0.180     4.71915     8.72649     2.37628
 11.70     352.19    1600.00     3.58303   0.200     4.69765     8.70571     2.37655
 11.70     352.19    1600.00     3.59369   0.250     4.69919     8.71817     2.37241
 11.70     352.19    1600.00     3.60387   0.300     4.70285     8.73154     2.36816
 11.70     352.19    1600.00     3.61413   0.350     4.70710     8.74562     2.36389
 11.70     352.19    1600.00     3.62446   0.400     4.71187     8.76034     2.35963
 11.70     352.19    1600.00     3.63484   0.450     4.71713     8.77564     2.35536
 11.70     352.19    1600.00     3.64526   0.500     4.72285     8.79146     2.35109
 11.70     352.19    1600.00     3.65572   0.550     4.72900     8.80779     2.34682
 11.70     352.19    1600.00     3.66622   0.600     4.73558     8.82463     2.34256
 11.70     352.19    1600.00     3.67675   0.650     4.74260     8.84196     2.33830
 11.70     352.19    1600.00     3.68732   0.700     4.75009     8.85984     2.33404
 11.70     352.19    1600.00     3.69794   0.750     4.75810     8.87831     2.32977
 11.70     352.19    1600.00     3.70860   0.800     4.76668     8.89744     2.32550
 11.70     352.19    1600.00     3.72683   0.850     4.80754     8.95351     2.31675
 11.70     352.19    1600.00     3.74797   0.900     4.86185     9.02544     2.30651
 11.70     352.19    1600.00     3.76981   0.950     4.92015     9.10232     2.29608
 11.70     352.19    1600.00     3.79198   1.000     4.98077     9.18205     2.28560
 11.70     352.19    1700.00     3.52892   0.000     4.67059     8.61754     2.46655
 11.70     352.19    1700.00     3.54050   0.050     4.66715     8.62729     2.46249
 11.70     352.19    1700.00     3.55227   0.100     4.66565     8.63918     2.45830
 11.70     352.19    1700.00     3.56405   0.150     4.66454     8.65151     2.45412
 11.70     352.19    1700.00     3.58204   0.180     4.68600     8.68666     2.44966
 11.70     352.19    1700.00     3.57522   0.200     4.66520     8.66423     2.44987
 11.70     352.19    1700.00     3.58538   0.250     4.66902     8.67778     2.44548
 11.70     352.19    1700.00     3.59566   0.300     4.67349     8.69215     2.44106
 11.70     352.19    1700.00     3.60602   0.350     4.67851     8.70721     2.43663
 11.70     352.19    1700.00     3.61645   0.400     4.68405     8.72290     2.43220
 11.70     352.19    1700.00     3.62692   0.450     4.69006     8.73915     2.42778
 11.70     352.19    1700.00     3.63744   0.500     4.69652     8.75593     2.42335
 11.70     352.19    1700.00     3.64800   0.550     4.70340     8.77322     2.41893
 11.70     352.19    1700.00     3.65860   0.600     4.71073     8.79103     2.41451
 11.70     352.19    1700.00     3.66923   0.650     4.71850     8.80936     2.41009
 11.70     352.19    1700.00     3.67991   0.700     4.72677     8.82827     2.40567
 11.70     352.19    1700.00     3.69064   0.750     4.73558     8.84781     2.40125
 11.70     352.19    1700.00     3.70144   0.800     4.74502     8.86810     2.39681
 11.70     352.19    1700.00     3.71971   0.850     4.78523     8.92377     2.38796
 11.70     352.19    1700.00     3.74076   0.900     4.83813     8.99438     2.37768
 11.70     352.19    1700.00     3.76247   0.950     4.89486     9.06969     2.36721
 11.70     352.19    1700.00     3.78450   1.000     4.95388     9.14776     2.35670
