Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
  0.00       0.00    1500.00     3.19167   0.000     4.29668     7.48283     2.42616
  0.10       5.74    1500.00     3.19604   0.000     4.30265     7.49579     2.42495
  0.20       9.64    1500.00     3.20060   0.000     4.30904     7.50888     2.42375
  0.30      13.55    1500.00     3.20625   0.000     4.31796     7.52392     2.42243
  0.40      17.22    1500.00     3.21245   0.000     4.32808     7.53942     2.42111
  0.50      20.74    1500.00     3.21944   0.000     4.33992     7.55566     2.41977
  0.60      24.26    1500.00     3.22298   0.000     4.34426     7.56876     2.41847
  0.70      27.30    1500.00     3.22636   0.000     4.34824     7.58159     2.41718
  0.80      30.33    1500.00     3.22971   0.000     4.35220     7.59429     2.41590
  0.90      33.35    1500.00     3.23305   0.000     4.35612     7.60688     2.41463
  1.00      36.37    1500.00     3.23636   0.000     4.36001     7.61934     2.41338
  1.10      39.40    1500.00     3.23966   0.000     4.36387     7.63169     2.41214
  1.20      42.39    1500.00     3.24294   0.000     4.36770     7.64393     2.41091
  1.30      45.37    1500.00     3.24620   0.000     4.37150     7.65606     2.40970
  1.40      48.36    1500.00     3.24944   0.000     4.37527     7.66809     2.40849
  1.50      51.34    1500.00     3.25267   0.000     4.37902     7.68002     2.40729
  1.60      54.33    1500.00     3.25587   0.000     4.38273     7.69186     2.40611
  1.70      57.31    1500.00     3.25906   0.000     4.38643     7.70360     2.40493
  1.80      60.30    1500.00     3.26224   0.000     4.39009     7.71525     2.40377
  1.90      63.33    1500.00     3.26540   0.000     4.39374     7.72681     2.40261
  2.00      66.36    1500.00     3.26854   0.000     4.39735     7.73828     2.40147
  2.10      69.39    1500.00     3.27201   0.000     4.40149     7.75141     2.40028
  2.20      72.42    1500.00     3.27714   0.000     4.40827     7.77286     2.39885
  2.30      75.45    1500.00     3.28162   0.000     4.41402     7.79098     2.39753
  2.40      78.48    1500.00     3.28586   0.000     4.41940     7.80787     2.39625
  2.50      81.50    1500.00     3.28990   0.000     4.42449     7.82378     2.39502
  2.60      84.49    1500.00     3.29379   0.000     4.42934     7.83888     2.39381
  2.70      87.48    1500.00     3.29755   0.000     4.43398     7.85331     2.39263
  2.80      90.47    1500.00     3.30119   0.000     4.43845     7.86716     2.39147
  2.90      93.46    1500.00     3.30474   0.000     4.44278     7.88052     2.39034
  3.00      96.45    1500.00     3.30821   0.000     4.44698     7.89347     2.38922
  3.10      99.44    1500.00     3.31161   0.000     4.45107     7.90605     2.38812
  3.20     102.44    1500.00     3.31494   0.000     4.45506     7.91830     2.38703
  3.30     105.43    1500.00     3.31822   0.000     4.45897     7.93028     2.38596
  3.40     108.42    1500.00     3.32145   0.000     4.46280     7.94200     2.38490
  3.50     111.41    1500.00     3.32464   0.000     4.46656     7.95349     2.38385
  3.60     114.40    1500.00     3.32778   0.000     4.47025     7.96478     2.38282
  3.70     117.41    1500.00     3.33089   0.000     4.47389     7.97589     2.38179
  3.80     120.43    1500.00     3.33396   0.000     4.47748     7.98683     2.38077
  3.90     123.45    1500.00     3.33701   0.000     4.48102     7.99761     2.37977
  4.00     126.47    1500.00     3.34002   0.000     4.48452     8.00825     2.37877
  4.10     129.48    1500.00     3.34301   0.000     4.48797     8.01877     2.37778
  4.20     132.50    1500.00     3.34598   0.000     4.49139     8.02916     2.37680
  4.30     135.52    1500.00     3.34892   0.000     4.49477     8.03944     2.37582
  4.40     138.53    1500.00     3.35184   0.000     4.49811     8.04961     2.37486
  4.50     141.55    1500.00     3.35475   0.000     4.50143     8.05969     2.37390
  4.60     144.57    1500.00     3.35763   0.000     4.50471     8.06968     2.37295
  4.70     147.59    1500.00     3.36050   0.000     4.50797     8.07958     2.37200
  4.80     150.60    1500.00     3.36334   0.000     4.51120     8.08939     2.37106
  4.90     153.62    1500.00     3.36618   0.000     4.51441     8.09914     2.37013
  5.00     156.64    1500.00     3.36900   0.000     4.51759     8.10880     2.36921
  5.10     159.66    1500.00     3.37180   0.000     4.52075     8.11840     2.36829
  5.20     162.67    1500.00     3.37459   0.000     4.52388     8.12793     2.36737
  5.30     165.69    1500.00     3.37737   0.000     4.52700     8.13740     2.36647
  5.40     168.71    1500.00     3.38013   0.000     4.53010     8.14681     2.36556
  5.50     171.72    1500.00     3.38289   0.000     4.53317     8.15616     2.36467
  5.60     174.74    1500.00     3.38563   0.000     4.53623     8.16546     2.36378
  5.70     177.76    1500.00     3.38836   0.000     4.53927     8.17470     2.36289
  5.80     180.78    1500.00     3.39108   0.000     4.54229     8.18389     2.36201
  5.90     183.79    1500.00     3.39379   0.000     4.54530     8.19303     2.36114
  6.00     186.79    1500.00     3.39649   0.000     4.54829     8.20213     2.36027
  6.10     189.79    1500.00     3.39918   0.000     4.55126     8.21117     2.35940
  6.20     192.78    1500.00     3.40185   0.000     4.55422     8.22018     2.35854
  6.30     195.77    1500.00     3.40453   0.000     4.55716     8.22914     2.35769
  6.40     198.76    1500.00     3.40719   0.000     4.56009     8.23805     2.35684
  6.50     201.75    1500.00     3.40984   0.000     4.56301     8.24693     2.35599
  6.60     204.74    1500.00     3.41249   0.000     4.56591     8.25577     2.35515
  6.70     207.74    1500.00     3.41512   0.000     4.56880     8.26456     2.35431
  6.80     210.73    1500.00     3.41775   0.000     4.57167     8.27333     2.35348
  6.90     213.72    1500.00     3.42037   0.000     4.57454     8.28205     2.35265
  7.00     216.71    1500.00     3.42299   0.000     4.57739     8.29074     2.35183
  7.10     219.70    1500.00     3.42559   0.000     4.58023     8.29939     2.35101
  7.20     222.63    1500.00     3.42819   0.000     4.58306     8.30801     2.35020
  7.30     225.55    1500.00     3.43078   0.000     4.58587     8.31660     2.34939
  7.40     228.47    1500.00     3.43337   0.000     4.58868     8.32516     2.34858
  7.50     231.40    1500.00     3.43595   0.000     4.59148     8.33368     2.34778
  7.60     234.32    1500.00     3.43852   0.000     4.59426     8.34218     2.34698
  7.70     237.24    1500.00     3.44109   0.000     4.59704     8.35064     2.34618
  7.80     240.16    1500.00     3.44365   0.000     4.59980     8.35908     2.34539
  7.90     243.08    1500.00     3.44620   0.000     4.60256     8.36748     2.34460
  8.00     246.01    1500.00     3.44875   0.000     4.60531     8.37586     2.34382
  8.10     248.93    1500.00     3.45130   0.000     4.60804     8.38421     2.34304
  8.20     251.85    1500.00     3.45383   0.000     4.61077     8.39254     2.34226
  8.30     254.77    1500.00     3.45637   0.000     4.61349     8.40084     2.34149
  8.40     257.69    1500.00     3.45890   0.000     4.61621     8.40911     2.34072
  8.50     260.62    1500.00     3.46142   0.000     4.61891     8.41736     2.33996
  8.60     263.54    1500.00     3.46394   0.000     4.62161     8.42559     2.33919
  8.70     266.45    1500.00     3.46645   0.000     4.62430     8.43379     2.33843
  8.80     269.36    1500.00     3.46896   0.000     4.62699     8.44197     2.33768
  8.90     272.26    1500.00     3.47147   0.000     4.62966     8.45013     2.33692
  9.00     275.16    1500.00     3.47397   0.000     4.63233     8.45827     2.33617
  9.10     278.06    1500.00     3.47647   0.000     4.63500     8.46639     2.33543
  9.20     280.97    1500.00     3.47897   0.000     4.63766     8.47448     2.33468
  9.30     283.87    1500.00     3.48146   0.000     4.64031     8.48256     2.33394
  9.40     286.77    1500.00     3.48921   0.000     4.68117     8.53185     2.33113
  9.50     289.68    1500.00     3.49167   0.000     4.68383     8.53962     2.33036
  9.60     292.58    1500.00     3.49412   0.000     4.68648     8.54737     2.32959
  9.70     295.48    1500.00     3.49656   0.000     4.68912     8.55510     2.32883
  9.80     298.39    1500.00     3.49901   0.000     4.69175     8.56280     2.32807
  9.90     301.29    1500.00     3.50145   0.000     4.69438     8.57049     2.32731
 10.00     304.19    1500.00     3.50388   0.000     4.69699     8.57817     2.32656
 10.10     307.10    1500.00     3.50631   0.000     4.69960     8.58582     2.32581
 10.20     310.00    1500.00     3.50874   0.000     4.70220     8.59346     2.32506
 10.30     312.81    1500.00     3.51117   0.000     4.70479     8.60108     2.32432
 10.40     315.62    1500.00     3.51360   0.000     4.70737     8.60868     2.32358
 10.50     318.44    1500.00     3.51602   0.000     4.70995     8.61626     2.32284
 10.60     321.25    1500.00     3.51844   0.000     4.71251     8.62383     2.32211
 10.70     324.06    1500.00     3.52085   0.000     4.71507     8.63138     2.32137
 10.80     326.88    1500.00     3.52327   0.000     4.71763     8.63892     2.32064
 10.90     329.69    1500.00     3.52568   0.000     4.72017     8.64645     2.31992
 11.00     332.50    1500.00     3.52810   0.000     4.72271     8.65395     2.31919
 11.10     335.31    1500.00     3.53051   0.000     4.72524     8.66145     2.31847
 11.20     338.13    1500.00     3.53292   0.000     4.72776     8.66893     2.31775
 11.30     340.94    1500.00     3.53533   0.000     4.73028     8.67640     2.31703
 11.40     343.75    1500.00     3.53774   0.000     4.73279     8.68385     2.31632
 11.50     346.56    1500.00     3.54015   0.000     4.73530     8.69129     2.31561
 11.60     349.38    1500.00     3.54256   0.000     4.73780     8.69873     2.31490
 11.70     352.19    1500.00     3.54497   0.000     4.74029     8.70615     2.31419
 11.80     355.00    1500.00     3.54738   0.000     4.74277     8.71356     2.31349
 11.90     357.81    1500.00     3.54979   0.000     4.74525     8.72096     2.31279
 12.00     360.62    1500.00     3.55220   0.000     4.74773     8.72835     2.31209
 12.10     363.44    1500.00     3.55462   0.000     4.75020     8.73574     2.31139
 12.20     366.25    1500.00     3.55704   0.000     4.75266     8.74311     2.31070
 12.30     369.06    1500.00     3.55946   0.000     4.75512     8.75048     2.31000
 12.40     371.88    1500.00     3.56188   0.000     4.75758     8.75785     2.30931
 12.50     374.69    1500.00     3.57422   0.000     4.78691     8.80507     2.30496
 12.60     377.50    1500.00     3.59164   0.000     4.83033     8.87321     2.29892
 12.70     380.31    1500.00     3.61024   0.000     4.87742     8.94688     2.29268
 12.80     383.12    1500.00     3.63045   0.000     4.92954     9.02804     2.28613
