 Melt fraction, vs_solution, vs_root
 nonlinear initial flo, dflo  0.000000000000000E+000   997.394211377871     
 nonlinear initial fhi, dfhi -0.616117571527398        993.416298526541     
 nonlinear initial flo, dflo  1.332570940861222E-002   984.068501969259     
 nonlinear initial fhi, dfhi -0.602791862118786        980.090589117928     
 nonlinear initial flo, dflo  3.215974950799727E-002   965.234461869874     
 nonlinear initial fhi, dfhi -0.583957822019400        961.256549018543     
 nonlinear initial flo, dflo  5.523301047044238E-002   942.161200907429     
 nonlinear initial fhi, dfhi -0.560884561056955        938.183288056098     
 nonlinear initial flo, dflo  7.974680746121676E-002   917.647403916654     
 nonlinear initial fhi, dfhi -0.536370764066181        913.669491065324     
 nonlinear initial flo, dflo  0.103463178129680        893.931033248191     
 nonlinear initial fhi, dfhi -0.512654393397718        889.953120396861     
 nonlinear initial flo, dflo  0.125321475516679        872.072735861192     
 nonlinear initial fhi, dfhi -0.490796096010719        868.094823009862     
 nonlinear initial flo, dflo  0.145125169124482        852.269042253389     
 nonlinear initial fhi, dfhi -0.470992402402916        848.291129402059     
 nonlinear initial flo, dflo  0.163111209726885        834.283001650986     
 nonlinear initial fhi, dfhi -0.453006361800513        830.305088799656     
 nonlinear initial flo, dflo  0.179676844126605        817.717367251266     
 nonlinear initial fhi, dfhi -0.436440727400792        813.739454399935     
 nonlinear initial flo, dflo  0.195251561696654        802.142649681217     
 nonlinear initial fhi, dfhi -0.420866009830744        798.164736829887     
 nonlinear initial flo, dflo  0.210248805320021        787.145406057850     
 nonlinear initial fhi, dfhi -0.405868766207377        783.167493206520     
 nonlinear initial flo, dflo  0.225052792227932        772.341419149939     
 nonlinear initial fhi, dfhi -0.391064779299466        768.363506298609     
 nonlinear initial flo, dflo  0.240019181197640        757.375030180231     
 nonlinear initial fhi, dfhi -0.376098390329757        753.397117328900     
 nonlinear initial flo, dflo  0.255481025039912        741.913186337959     
 nonlinear initial fhi, dfhi -0.360636546487486        737.935273486629     
 nonlinear initial flo, dflo  0.271756444994608        725.637766383263     
 nonlinear initial fhi, dfhi -0.344361126532790        721.659853531933     
 nonlinear initial flo, dflo  0.289155817491097        708.238393886774     
 nonlinear initial fhi, dfhi -0.326961754036301        704.260481035443     
 nonlinear initial flo, dflo  0.307986309164077        689.407902213794     
 nonlinear initial fhi, dfhi -0.308131262363321        685.429989362464     
 nonlinear initial flo, dflo  0.328551376524419        668.842834853452     
 nonlinear initial fhi, dfhi -0.287566195002979        664.864922002122     
 nonlinear initial flo, dflo  0.351142808082726        646.251403295145     
 nonlinear initial fhi, dfhi -0.264974763444672        642.273490443815     
 nonlinear initial flo, dflo  0.376023296159419        621.370915218452     
 nonlinear initial fhi, dfhi -0.240094275367979        617.393002367121     
 nonlinear initial flo, dflo  0.403398673407001        593.995537970871     
 nonlinear initial fhi, dfhi -0.212718898120397        590.017625119540     
 nonlinear initial flo, dflo  0.433381224849521        564.012986528350     
 nonlinear initial fhi, dfhi -0.182736346677877        560.035073677020     
 nonlinear initial flo, dflo  0.465949353295887        531.444858081984     
 nonlinear initial fhi, dfhi -0.150168218231511        527.466945230654     
 nonlinear initial flo, dflo  0.500914743867685        496.479467510186     
 nonlinear initial fhi, dfhi -0.115202827659712        492.501554658855     
 nonlinear initial flo, dflo  0.537916234072887        459.477977304984     
 nonlinear initial fhi, dfhi -7.820133745451041E-002   455.500064453653     
 nonlinear initial flo, dflo  0.576469851598669        420.924359779202     
 nonlinear initial fhi, dfhi -3.964771992872823E-002   416.946446927871     
 nonlinear initial flo, dflo  0.616117571527398        381.276639850473     
 nonlinear initial fhi, dfhi  0.000000000000000E+000   377.298726999143     
